hour,city,latitude,longitude,temp,wind_speed,humidity,date,temp_category,wind_category,humidity_category
20,Mumbai,19.086115,72.85291,29.0,5.8,77,2026-06-02,Medium,Moderate,High
21,Mumbai,19.086115,72.85291,28.5,5.2,81,2026-06-02,Medium,Moderate,Very High
22,Mumbai,19.086115,72.85291,28.1,3.5,83,2026-06-02,Medium,Low,Very High
23,Mumbai,19.086115,72.85291,28.0,1.3,84,2026-06-02,Medium,Low,Very High
0,Mumbai,19.086115,72.85291,28.1,0.2,83,2026-06-03,Medium,Low,Very High
1,Mumbai,19.086115,72.85291,28.5,3.6,81,2026-06-03,Medium,Low,Very High
2,Mumbai,19.086115,72.85291,29.0,8.7,79,2026-06-03,Medium,Moderate,High
3,Mumbai,19.086115,72.85291,29.7,11.7,75,2026-06-03,Medium,High,High
4,Mumbai,19.086115,72.85291,30.6,10.8,70,2026-06-03,Medium,High,High
5,Mumbai,19.086115,72.85291,31.7,10.9,64,2026-06-03,Medium,High,High
6,Mumbai,19.086115,72.85291,32.5,13.0,61,2026-06-03,Hot,High,High
7,Mumbai,19.086115,72.85291,32.3,12.1,62,2026-06-03,Hot,High,High
8,Mumbai,19.086115,72.85291,32.2,12.1,62,2026-06-03,Hot,High,High
9,Mumbai,19.086115,72.85291,31.9,12.1,64,2026-06-03,Medium,High,High
10,Mumbai,19.086115,72.85291,31.5,11.9,65,2026-06-03,Medium,High,High
11,Mumbai,19.086115,72.85291,31.1,11.9,67,2026-06-03,Medium,High,High
12,Mumbai,19.086115,72.85291,30.9,11.5,68,2026-06-03,Medium,High,High
13,Mumbai,19.086115,72.85291,30.7,10.8,69,2026-06-03,Medium,High,High
14,Mumbai,19.086115,72.85291,30.6,9.5,69,2026-06-03,Medium,Moderate,High
15,Mumbai,19.086115,72.85291,30.5,8.0,70,2026-06-03,Medium,Moderate,High
16,Mumbai,19.086115,72.85291,30.3,6.7,71,2026-06-03,Medium,Moderate,High
17,Mumbai,19.086115,72.85291,30.1,5.7,72,2026-06-03,Medium,Moderate,High
18,Mumbai,19.086115,72.85291,29.9,5.2,74,2026-06-03,Medium,Moderate,High
19,Mumbai,19.086115,72.85291,29.5,5.1,76,2026-06-03,Medium,Moderate,High
20,Mumbai,19.086115,72.85291,28.9,5.2,78,2026-06-03,Medium,Moderate,High
21,Mumbai,19.086115,72.85291,28.3,5.6,81,2026-06-03,Medium,Moderate,Very High
22,Mumbai,19.086115,72.85291,27.8,6.3,84,2026-06-03,Medium,Moderate,Very High
23,Mumbai,19.086115,72.85291,27.5,7.0,86,2026-06-03,Medium,Moderate,Very High
